2010-02-26T22:17:00Z,Embassy San Salvador,"ECON, ETRD, KIPR, ES"
2010-02-26T13:13:00Z,Embassy La Paz,"ECON, ETRD, KIPR, BL"
2010-02-26T12:07:00Z,Embassy Paris,"ECON, ETRD, EIND, EINV, EUN, KIPR, FR"
2010-02-26T04:59:00Z,Embassy Beijing,"PREL, PGOV, PHUM, MASS, ETRD, KIPR, CVIS, EFIN, SENV, ENRG,"
2010-02-25T10:00:00Z,Embassy Kuala Lumpur,"ECON, ETRD, KIPR, MY"
2010-02-24T13:47:00Z,Consulate Chiang Mai,"ECON, ETRD, EINV, EINT, KIPR, PREL, TH"
2010-02-22T20:23:00Z,Embassy Mexico,"ECON, KIPR, MX, ETRD, PREL, EINT, ENRG, BTIO"
2010-02-22T11:28:00Z,Embassy Tashkent,"ETRD, ECON, KIPR, UZ"
2010-02-22T10:00:00Z,"American Institute Taiwan, Taipei","ECON, ETRD, KIPR, TW"
2010-02-20T15:10:00Z,Embassy Riyadh,"KIPR, ETRD, ECON, PREL, SA"
2010-02-19T08:24:00Z,Consulate Shanghai,"KIPR, ECON, ETRD, PGOV, CH"
2010-02-18T17:01:00Z,Mission Geneva,"ECON, KIPR, WIPO"
2010-02-18T12:45:00Z,Embassy Oslo,"PTER, AF, CU, NO, KCRM, KIPR, KJUS, PREL, PREF, KTIP"
2010-02-17T05:59:00Z,Embassy Jakarta,"ECON, APECO, BEXP, EINV, ETRD, KIPR, ID"
2010-02-16T19:24:00Z,Embassy Moscow,"PGOV, TBIO, PREL, SOCI, ETRD, KIPR, RS"
2010-02-16T07:09:00Z,Embassy Madrid,"KIPR, ETRD, EUN, SP"
2010-02-16T05:23:00Z,Embassy Kuwait,"EINT, PGOV, ECPS, KIPR, EIND, ETRD, KU"
2010-02-12T15:25:00Z,Embassy Madrid,"ETRD, KIPR, PGOV, PREL, PHUM, SCUL, SP"
2010-02-12T12:23:00Z,Embassy Ashgabat,"PGOV, ECON, ETRD, KIPR, TX"
2010-02-12T10:24:00Z,Embassy Ashgabat,"PGOV, ECON, ETRD, KIPR, TX"
2010-02-12T07:29:00Z,Consulate Guangzhou,"ETRD, KIPR, ECON, PGOV, CH, HK"
2010-02-11T18:30:00Z,Embassy Caracas,"ECON, ECIN, EIND, EINT, EINV, ETRD, KIPR, VE"
2010-02-11T16:49:00Z,Embassy Athens,"ECON, KIPR, GR"
2010-02-11T15:46:00Z,Embassy Oslo,"SENV, KIPR, ETRD, AF, PREL, NO"
2010-02-10T21:50:00Z,Embassy Quito,"ETRD, KIPR, EINV, EC"
2010-02-10T10:41:00Z,Consulate Ho Chi Minh City,"ECON, KIPR, EAID, ETRD, VM"
2010-02-10T08:10:00Z,Consulate Guangzhou,"ETRD, ECON, KIPR, EFIN, EINV, PGOV, CH"
2010-02-10T07:38:00Z,Embassy Seoul,"CMGT, ECON, KIPR, KTIA, PHUM, PREL, KS"
2010-02-08T11:27:00Z,Embassy Madrid,"ECON, EFIN, EINV, ELAB, KIPR, SP"
2010-02-08T07:42:00Z,Embassy Madrid,"ECON, EFIN, ELAB, KIPR, SP"
2010-02-07T10:44:00Z,Consulate Dubai,"ETRD, KIPR, EFIN, ECON, PREL, AE"
2010-02-05T21:42:00Z,Embassy Mexico,"ECON, KIPR, MX, ETRD, PREL, EINT, ENRG, BTIO"
2010-02-05T16:16:00Z,Embassy Beirut,"ETRD, ECON, PREL, PGOV, EAID, MEPI, KIPR, LE"
2010-02-05T13:34:00Z,Embassy Kingston,"ECON, ETRD, EFIN, EINV, PREL, TRSY, USTR, KIPR, XL, JM"
2010-02-04T13:24:00Z,Consulate Dubai,"ETRD, KIPR, EFIN, ECON, PREL, AE, PK"
2010-02-04T02:54:00Z,Consulate Chengdu,"ECON, EIND, EINV, ETRD, PGOV, KIPR, CH"
2010-02-03T16:28:00Z,Embassy Rome,"ECPS, ETTC, KIPR, EINT, IT"
2010-02-02T09:45:00Z,Consulate Ho Chi Minh City,"ECON, KIPR, EAID, ETRD, VM"
2010-01-29T08:57:00Z,Embassy Ashgabat,"KIPR, ECON, PGOV, EINV, TX"
2010-01-29T08:26:00Z,Embassy Bandar Seri Begawan,"PREL, PGOV, USTR, KIPR, KINR, ECON, BX"
2010-01-29T04:56:00Z,Embassy Bangkok,"ECON, ETRD, EINV, KIPR, PREL, TH"
2010-01-28T12:56:00Z,Consulate Chengdu,"ECON, EIND, ETRD, EINV, PGOV, KIPR, KJUS, CH"
2010-01-28T11:55:00Z,Embassy Colombo,"KIPR, ECON, PGOV, CE"
2010-01-28T11:42:00Z,Embassy Ankara,"ECON, EINV, EIND, ETRD, KIPR, USTR, TU"
2010-01-27T14:32:00Z,Embassy Beirut,"ETRD, PGOV, KIPR, KDEM, PINR, KPAL, LE"
2010-01-27T12:32:00Z,Embassy Moscow,"TBIO, PREL, EAID, SOCI, KHIV, TSPL, ETRD, ELAB, EAGR, KIPR,"
2010-01-27T08:13:00Z,Embassy Bandar Seri Begawan,"ETRD, KIPR, ECON, EINV, USTR, BX"
2010-01-26T18:10:00Z,Embassy Madrid,"BEXP, ECON, EINV, ENRG, KIPR, SP"
2010-01-26T01:52:00Z,Embassy Bangkok,"ECON, EFIN, EINV, ELAB, ETRD, KIPR, OPIC, KTDB, USTR, TH"
2010-01-24T11:56:00Z,Embassy Riyadh,"ECON, PREL, KIPR, EINV, TSPL, SENV, SOCI, SA"
2010-01-22T17:00:00Z,Embassy Madrid,"ECON, EFIN, KIPR, SP"
2010-01-22T15:43:00Z,Embassy Madrid,"PREL, KIPR, AF, IR, XM, SP"
2010-01-22T03:46:00Z,Consulate Shanghai,"PREL, SENV, ECON, EINV, PGOV, KIPR, OVIP, (MURRAY, PATTY),"
2010-01-21T10:52:00Z,Mission Geneva,"ECON, KIPR, WIPO"
2010-01-21T09:51:00Z,Mission Geneva,"ECON, KIPR, WIPO"
2010-01-20T12:50:00Z,Embassy Kuwait,"EINT, PGOV, ECPS, KIPR, EIND, ETRD, KU"
2010-01-19T23:24:00Z,Embassy San Jose,"ETRD, KTDB, KIPR, OPIC, KIDE, USTR, ECON, CS, PGOV"
2010-01-19T12:30:00Z,Embassy Madrid,"EAIR, ECON, ECPS, EFIN, ELAB, KIPR, SP"
2010-01-19T10:11:00Z,Embassy Beijing,"PREL, PGOV, ECON, EFIN, KIPR, SENV, EINV, ETRD, PHUM,"
2010-01-19T00:41:00Z,Embassy Phnom Penh,"ECON, EFIN, EINV, ELAB, ETRD, KIPR, OPIC, KTDB, USTR, CB"
2010-01-14T13:50:00Z,Embassy Tallinn,"ETRD, KIPR, ECON, EN"
2010-01-14T11:04:00Z,Embassy Moscow,"TSPL, TNGD, TBIO, TINT, KIPR, KPAO, OEXC, SCUL, SOCI, PGOV,"
2010-01-13T13:50:00Z,Embassy Riyadh,"ETRD, KIPR, ECON, EINV, PREL, SA"
2010-01-13T06:42:00Z,Embassy Tashkent,"ECON, EINT, KIPR, UZ"
2010-01-11T14:36:00Z,Embassy Paris,"ECPS, EFIN, ETRD, EIND, KIPR, SCUL, FR"
2010-01-11T11:28:00Z,Embassy Kuwait,"EINT, PGOV, ECPS, KIPR, EIND, ETRD, KU"
2010-01-08T13:49:00Z,Embassy New Delhi,"ECON, EFIN, EINV, ECIN, KIPR, EIND, ELTN, ETRD, TSPA, IN, JA"
2010-01-08T12:06:00Z,Mission Geneva,"ECON, KIPR, WIPO"
2010-01-08T11:54:00Z,Mission Geneva,"ECON, KIPR, WIPO"
2010-01-08T08:20:00Z,Embassy Baku,"EINV, ETRD, BTIO, EFIN, KCOR, KIPR, AJ, TU, GG"
